hotel_name,location,country,description,amenities,rating,contact,website_url,source_url,latitude,longitude
PrideInn Suites Lantana,Nairobi,Kenya,"PrideInn Suites Lantana is an accommodation option in Nairobi, Kenya.",internet_access,Not listed,+254713565055,https://www.prideinn.co.ke/prideinn-suites-lantana/,https://www.openstreetmap.org/node/6536333979,-1.2666349,36.7929061
Connaught apartment,Nairobi,Kenya,"Connaught apartment is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6543058415,-1.2669445,36.7981341
Kuku Mart,Nairobi,Kenya,"Kuku Mart is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6808015993,-1.3679667,36.922309
Acacia Hotel,Nairobi,Kenya,"Acacia Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6812208448,-1.3222446,36.8941652
Claire's Haven,Nairobi,Kenya,"Claire's Haven is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6817315476,-1.2963009,36.9093898
Piccassa Lounge,Nairobi,Kenya,"Piccassa Lounge is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6817327508,-1.2834206,36.8793179
Masai Mara,Nairobi,Kenya,"Masai Mara is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6817523431,-1.2854177,36.8532895
Red Square Villas,Nairobi,Kenya,"Red Square Villas is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6819930267,-1.2560654,36.9265026
Gatanga Travellers Inn,Nairobi,Kenya,"Gatanga Travellers Inn is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6826671293,-1.2354154,36.9341551
Madola,Nairobi,Kenya,"Madola is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6826671304,-1.2285852,36.9191038
Soniri Hostel,Nairobi,Kenya,"Soniri Hostel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6830400009,-1.31771,36.8254805
Milele Hotel,Nairobi,Kenya,"Milele Hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6830400010,-1.3122668,36.8250514
Hotel Rudi,Nairobi,Kenya,"Hotel Rudi is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6830686465,-1.3429611,36.7431955
Tiwi lounge,Nairobi,Kenya,"Tiwi lounge is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6830809535,-1.3384261,36.738366
Fairacres Karen,Nairobi,Kenya,"Fairacres Karen is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6830809537,-1.3408576,36.7371109
Pearl Palace,Nairobi,Kenya,"Pearl Palace is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6840717199,-1.2677292,36.832547
Eldorado,Nairobi,Kenya,"Eldorado is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/6847249044,-1.2126707,36.9075978
Hotel Mariposa,Nairobi,Kenya,"Hotel Mariposa is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/7113666586,-1.2829031,36.8277775
The Fuse,Nairobi,Kenya,"The Fuse is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/7175160066,-1.2165426,36.8345264
Hanan Guest House,Nairobi,Kenya,"Hanan Guest House is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,+254 20 2679580,https://www.hanan-guesthouse.com/,https://www.openstreetmap.org/node/7516083787,-1.3163043,36.8293966
The strand leisure hotel,Nairobi,Kenya,"The strand leisure hotel is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/7657781685,-1.3067883,36.8243871
"Sandalwood Kitisuru, Nairobi, Kenya",Nairobi,Kenya,"Sandalwood Kitisuru, Nairobi, Kenya is an accommodation option in Nairobi, Kenya.",Not listed,Not listed,,,https://www.openstreetmap.org/node/7686965507,-1.2359641,36.76655
